timestamp,data_transfer_rate,error_rate,response_time,Ultrasound range( (signal strength)-(0-100)Db,Updates per second,Ranges(m),2D Camera resolution,Frames per second,Point cloud Density,Points per second,ultrasound data type,camera data type,lidar data type,status,is_malicious
4/1/2023 0:19,89.67774482,0.012488942,128.7514414,16,65,5,RGB: 1024 x 768,15,PCD: 1024 x 1024,12167,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:21,95.25387325,0.007437056,157.2236156,73,105,5,RGB: 1024 x 768,51,PCD: 1024 x 1024,32139,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:10,96.15488982,0.004684819,205.1482621,83,68,2,RGB: 1024 x 768,26,PCD: 1024 x 1024,21463,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:03,17.20603639,0.104504669,651.8827548,93,92,3,RGB: 1024 x 768,32,PCD: 1024 x 1024,20375,numeric array,numeric array,numeric array,slow,1
4/1/2023 0:26,124.3701769,0.014985297,211.5824036,65,103,0,RGB: 1024 x 768,32,PCD: 1024 x 1024,10658,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:54,86.90558364,0.013276168,159.3437953,37,61,2,RGB: 1024 x 768,58,PCD: 1024 x 1024,31694,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:45,130.1840567,0.006032701,215.3394981,98,36,2,RGB: 1024 x 768,30,PCD: 1024 x 1024,15257,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:58,124.4374955,0.011093591,125.5538872,92,78,5,RGB: 1024 x 768,24,PCD: 1024 x 1024,30428,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:00,103.8799172,0.006815588,302.5754732,73,120,1,RGB: 1024 x 768,21,PCD: 1024 x 1024,32541,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:19,111.9505289,0.012778711,183.4203111,66,107,4,RGB: 1024 x 768,32,PCD: 1024 x 1024,35764,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:45,105.1350675,0.009705836,217.6519624,45,101,0,RGB: 1024 x 768,54,PCD: 1024 x 1024,29106,numeric array,numeric array,numeric array,error,0
4/1/2023 0:09,101.0734936,0.007506831,239.7379261,37,34,3,RGB: 1024 x 768,43,PCD: 1024 x 1024,15607,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:01,112.5920276,0.006326645,233.6884417,12,34,6,RGB: 1024 x 768,36,PCD: 1024 x 1024,10788,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:00,100.0102423,0.012651846,162.8150042,13,100,4,RGB: 1024 x 768,52,PCD: 1024 x 1024,10086,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:29,119.7237168,0.022649639,171.4048575,80,36,2,RGB: 1024 x 768,46,PCD: 1024 x 1024,17726,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:16,90.22872995,0.015314268,182.6947864,66,102,0,RGB: 1024 x 768,56,PCD: 1024 x 1024,25649,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:44,86.57395237,0.010109444,217.9149907,30,107,5,RGB: 1024 x 768,15,PCD: 1024 x 1024,33039,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:14,112.8505372,0.011346531,224.7758262,59,52,4,RGB: 1024 x 768,19,PCD: 1024 x 1024,13693,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:22,118.2814278,0.004314836,253.0754579,99,69,5,RGB: 1024 x 768,50,PCD: 1024 x 1024,38191,numeric array,numeric array,numeric array,slow,0
4/1/2023 0:22,81.85457886,0.017379396,254.9731886,25,86,3,RGB: 1024 x 768,40,PCD: 1024 x 1024,11662,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:06,88.77270195,0.007581914,241.7666718,77,65,6,RGB: 1024 x 768,43,PCD: 1024 x 1024,13003,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:02,104.8312347,0.013345426,260.4161643,77,114,5,RGB: 1024 x 768,32,PCD: 1024 x 1024,23752,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:57,102.182818,0.007771213,107.8123521,85,108,5,RGB: 1024 x 768,17,PCD: 1024 x 1024,10070,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:02,103.7573928,0.014189153,225.8081511,33,70,2,RGB: 1024 x 768,41,PCD: 1024 x 1024,13182,numeric array,numeric array,numeric array,slow,0
4/1/2023 0:06,86.52377993,0.015494917,176.0237503,66,39,6,RGB: 1024 x 768,28,PCD: 1024 x 1024,31830,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:23,102.8889538,0.004608425,143.7672156,79,34,5,RGB: 1024 x 768,18,PCD: 1024 x 1024,24856,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:47,122.1540164,0.016729675,192.0399144,28,108,6,RGB: 1024 x 768,33,PCD: 1024 x 1024,39994,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:42,86.97560902,0.010038639,127.1350356,13,34,5,RGB: 1024 x 768,30,PCD: 1024 x 1024,20474,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:09,93.50839175,0.003425607,224.621867,28,36,5,RGB: 1024 x 768,43,PCD: 1024 x 1024,20887,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:16,102.9686618,0.005523228,169.1986228,51,113,6,RGB: 1024 x 768,40,PCD: 1024 x 1024,16067,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:23,101.040547,0.006715823,161.6326257,90,71,6,RGB: 1024 x 768,32,PCD: 1024 x 1024,30729,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:55,79.51263767,0.009837481,207.4443302,2,59,6,RGB: 1024 x 768,21,PCD: 1024 x 1024,23022,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:43,106.1464419,0.011666153,188.6057856,65,47,0,RGB: 1024 x 768,21,PCD: 1024 x 1024,39087,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:40,112.2816647,0.009101901,119.6698632,88,66,6,RGB: 1024 x 768,38,PCD: 1024 x 1024,37791,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:27,108.2010035,0.020321101,134.5011723,54,66,0,RGB: 1024 x 768,35,PCD: 1024 x 1024,11695,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:43,121.0505496,0.01333774,151.9823474,38,109,0,RGB: 1024 x 768,50,PCD: 1024 x 1024,35842,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:49,118.9556002,0.010451549,115.0774716,27,89,4,RGB: 1024 x 768,51,PCD: 1024 x 1024,22427,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:26,99.67949058,0.011003493,138.7232639,78,86,4,RGB: 1024 x 768,42,PCD: 1024 x 1024,25597,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:16,120.9903315,0.00979833,181.9141506,70,63,6,RGB: 1024 x 768,40,PCD: 1024 x 1024,28349,numeric array,numeric array,numeric array,normal,0
4/1/2023 1:24,83.96118259,0.013200133,252.2603791,82,98,3,RGB: 1024 x 768,38,PCD: 1024 x 1024,27973,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:17,81.61351505,0.006109526,225.3293836,39,35,5,RGB: 1024 x 768,23,PCD: 1024 x 1024,27437,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:02,132.8568344,0.011801967,151.7392962,16,39,1,RGB: 1024 x 768,49,PCD: 1024 x 1024,20561,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:41,111.8555784,0.014089908,232.3802991,26,89,3,RGB: 1024 x 768,20,PCD: 1024 x 1024,11182,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:23,95.15980242,0.01590945,169.7004977,23,77,0,RGB: 1024 x 768,24,PCD: 1024 x 1024,19290,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:33,118.5841953,0.018765974,237.9423883,46,59,0,RGB: 1024 x 768,52,PCD: 1024 x 1024,12228,numeric array,numeric array,numeric array,error,0
4/1/2023 1:16,85.23198924,0.010935536,211.1799727,67,48,4,RGB: 1024 x 768,19,PCD: 1024 x 1024,21388,numeric array,numeric array,numeric array,normal,0
4/1/2023 0:40,110.3456171,0.010439868,198.5755438,49,77,2,RGB: 1024 x 768,53,PCD: 1024 x 1024,19475,numeric array,numeric array,numeric array,normal,0
